,PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,first_name,Mr,second_name,Survived
0,1,3,1,22.0,1,0,720,7.25,0,3,100,12,855,0
1,2,1,0,38.0,1,0,816,71.3,107,1,182,13,601,1
2,3,3,0,26.0,0,0,914,7.926,0,3,329,9,690,1
3,4,1,0,35.0,1,0,65,53.1,71,3,267,13,541,1
4,5,3,1,35.0,0,0,649,8.05,0,3,15,12,1102,0
5,6,3,1,29.88,0,0,373,8.46,0,2,538,12,544,0
6,7,1,1,54.0,0,0,109,51.88,164,3,500,12,1032,0
7,8,3,1,2.0,3,1,541,21.08,0,3,608,8,437,0
8,9,3,0,27.0,0,2,477,11.13,0,3,382,13,850,1
9,10,2,0,14.0,1,0,174,30.08,0,1,559,13,822,1
10,11,3,0,4.0,1,1,839,16.7,185,3,707,9,754,1
11,12,1,0,58.0,0,0,50,26.55,63,3,86,9,302,1
12,13,3,1,20.0,0,0,733,8.05,0,3,709,12,1102,0
13,14,3,1,39.0,1,5,459,31.28,0,3,21,12,89,0
14,15,3,0,14.0,0,0,566,7.855,0,3,821,9,518,0
15,16,2,0,55.0,0,0,204,16.0,0,3,336,13,16,1
16,17,3,1,2.0,4,1,659,29.12,0,2,664,8,355,0
17,18,2,1,29.88,0,0,201,13.0,0,3,850,12,200,1
18,19,3,0,31.0,1,0,417,18.0,0,3,817,13,658,0
19,20,3,0,29.88,0,0,243,7.227,0,1,494,13,365,1
20,21,2,1,35.0,0,0,182,26.0,0,3,268,12,643,0
21,22,2,1,34.0,0,0,203,13.0,144,3,68,12,694,1
22,23,3,0,15.0,0,0,379,8.03,0,2,509,9,98,1
23,24,1,1,28.0,0,0,54,35.5,18,3,744,12,1115,1
24,25,3,0,8.0,3,1,541,21.08,0,3,608,9,1035,0
25,26,3,0,38.0,1,5,454,31.39,0,3,33,13,177,1
26,27,3,1,29.88,0,0,238,7.227,0,1,237,12,364,0
27,28,1,1,19.0,3,2,123,263.0,81,3,257,12,192,0
28,29,3,0,29.88,0,0,385,7.88,0,2,587,9,309,1
29,30,3,1,29.88,0,0,499,7.895,0,3,794,12,691,0
30,31,1,1,40.0,0,0,818,27.72,0,1,810,2,741,0
31,32,1,0,29.88,1,0,802,146.5,55,1,755,13,1088,1
32,33,3,0,29.88,0,0,397,7.75,0,2,287,9,778,1
33,34,2,1,66.0,0,0,751,10.5,0,3,838,12,276,0
34,35,1,1,28.0,1,0,820,82.2,0,1,520,12,255,0
35,36,1,1,42.0,1,0,55,52.0,0,3,349,12,54,0
36,37,3,1,29.88,0,0,272,7.23,0,1,485,12,450,1
37,38,3,1,21.0,0,0,706,8.05,0,3,124,12,336,0
38,39,3,0,18.0,2,0,418,18.0,0,3,817,9,139,0
39,40,3,0,14.0,1,0,245,11.24,0,1,569,9,558,1
40,41,3,0,40.0,1,0,695,9.48,0,3,8,13,576,0
41,42,2,0,27.0,1,0,69,21.0,0,3,809,13,1109,0
42,43,3,1,29.88,0,0,536,7.895,0,1,415,12,1002,0
43,44,2,0,3.0,1,2,868,41.6,0,1,428,9,974,1
44,45,3,0,19.0,0,0,384,7.88,0,2,205,9,748,1
45,46,3,1,29.88,0,0,840,8.05,0,3,677,12,1107,0
46,47,3,1,29.88,1,0,637,15.5,0,2,440,12,242,0
47,48,3,0,29.88,0,0,100,7.75,0,2,586,9,168,1
48,49,3,1,29.88,2,0,256,21.67,0,1,706,12,1123,0
49,50,3,0,18.0,1,0,520,17.8,0,3,28,13,634,0
50,51,3,1,7.0,4,1,335,39.7,0,3,609,8,652,0
51,52,3,1,21.0,0,0,718,7.8,0,3,576,12,909,0
52,53,1,0,49.0,1,0,803,76.75,130,1,315,13,496,1
53,54,2,0,29.0,1,0,324,26.0,0,3,246,13,719,1
54,55,1,1,65.0,0,1,39,61.97,33,1,601,12,328,0
55,56,1,1,29.88,0,0,122,35.5,93,3,857,12,516,1
56,57,2,0,21.0,0,0,758,10.5,0,3,690,9,323,1
57,58,3,1,28.5,0,0,292,7.23,0,1,578,12,738,0
58,59,2,0,5.0,1,2,768,27.75,0,3,836,9,227,1
59,60,3,1,11.0,5,2,775,46.9,0,3,292,8,1099,0
60,61,3,1,22.0,0,0,263,7.23,0,1,733,12,848,0
61,62,1,0,38.0,0,0,42,80.0,31,0,361,9,85,1
62,63,1,1,45.0,1,0,630,83.5,106,3,317,12,483,0
63,64,3,1,4.0,3,2,464,27.9,0,3,739,8,459,0
64,65,1,1,29.88,0,0,821,27.72,0,1,765,12,39,0
65,66,3,1,29.88,1,1,255,15.24,0,1,543,8,430,1
66,67,2,0,29.0,0,0,755,10.5,182,3,579,13,7,1
67,68,3,1,19.0,0,0,849,8.16,0,3,178,12,340,0
68,69,3,0,17.0,4,2,334,7.926,0,3,21,9,334,1
69,70,3,1,26.0,2,0,363,8.664,0,3,409,12,1053,0
70,71,2,1,32.0,0,0,762,10.5,0,3,374,12,990,0
71,72,3,0,16.0,5,2,775,46.9,0,3,292,9,713,0
72,73,2,1,21.0,0,0,847,73.5,0,3,352,12,82,0
73,74,3,1,26.0,1,0,275,14.45,0,1,149,12,114,0
74,75,3,1,32.0,0,0,104,56.5,0,3,76,12,696,1
75,76,3,1,25.0,0,0,481,7.65,180,3,533,12,970,0
76,77,3,1,29.88,0,0,491,7.895,0,3,758,12,535,0
77,78,3,1,29.88,0,0,650,8.05,0,3,545,12,895,0
78,79,2,1,0.83,0,2,211,29.0,0,3,118,8,47,1
79,80,3,0,30.0,0,0,593,12.48,0,3,217,9,302,1
80,81,3,1,22.0,0,0,420,9.0,0,3,823,12,25,0
81,82,3,1,29.0,0,0,430,9.5,0,3,720,12,559,1
82,83,3,0,29.88,0,0,382,7.79,0,2,505,9,171,1
83,84,1,1,28.0,0,0,35,47.1,0,3,130,12,375,0
84,85,2,0,17.0,0,0,871,10.5,0,3,362,9,157,1
85,86,3,0,33.0,3,0,333,15.85,0,3,43,13,666,1
86,87,3,1,16.0,1,3,924,34.38,0,3,255,12,1111,0
87,88,3,1,29.88,0,0,894,8.05,0,3,743,12,958,0
88,89,1,0,23.0,3,2,123,263.0,81,3,257,9,731,1
89,90,3,1,24.0,0,0,411,8.05,0,3,136,12,371,0
90,91,3,1,29.0,0,0,412,8.05,0,3,147,12,317,0
91,92,3,1,20.0,0,0,471,7.855,0,3,22,12,860,0
92,93,1,1,46.0,1,0,926,61.2,155,3,137,12,500,0
93,94,3,1,26.0,1,2,750,20.58,0,3,199,12,162,0
94,95,3,1,59.0,0,0,589,7.25,0,3,176,12,231,0
95,96,3,1,29.88,0,0,652,8.05,0,3,724,12,206,0
96,97,1,1,71.0,0,0,830,34.66,17,1,289,12,411,0
97,98,1,1,23.0,0,1,835,63.34,119,1,297,12,1091,1
98,99,2,0,34.0,0,1,149,23.0,0,3,213,13,627,1
99,100,2,1,34.0,1,0,199,26.0,0,3,391,12,975,0
100,101,3,0,28.0,0,0,528,7.895,0,3,637,9,785,0
101,102,3,1,29.88,0,0,498,7.895,0,3,638,12,856,0
102,103,1,1,21.0,0,1,574,77.3,127,3,840,12,911,0
103,104,3,1,33.0,0,0,693,8.66,0,3,380,12,446,0
104,105,3,1,37.0,2,0,331,7.926,0,3,301,12,91,0
105,106,3,1,28.0,0,0,490,7.895,0,3,528,12,994,0
106,107,3,0,21.0,0,0,409,7.65,0,3,703,9,100,1
107,108,3,1,29.88,0,0,341,7.773,0,3,542,12,44,1
108,109,3,1,38.0,0,0,532,7.895,0,3,658,12,1030,0
109,110,3,0,29.88,1,0,646,24.16,0,2,538,9,157,1
110,111,1,1,47.0,0,0,2,52.0,67,3,649,12,1058,0
111,112,3,0,14.5,1,0,259,14.45,0,1,865,9,507,0
112,113,3,1,22.0,0,0,370,8.05,0,3,57,12,238,0
113,114,3,0,20.0,1,0,674,9.83,0,3,388,9,681,0
114,115,3,0,17.0,0,0,235,14.46,0,1,38,9,734,0
115,116,3,1,21.0,0,0,910,7.926,0,3,625,12,262,0
116,117,3,1,70.5,0,0,635,7.75,0,2,167,12,857,0
117,118,2,1,29.0,1,0,69,21.0,0,3,809,12,1108,0
118,119,1,1,24.0,0,1,800,247.5,49,1,60,12,893,0
119,120,3,0,2.0,4,2,459,31.28,0,3,21,9,312,0
120,121,2,1,21.0,2,0,847,73.5,0,3,337,12,983,0
121,122,3,1,29.88,0,0,738,8.05,0,3,537,12,704,0
122,123,2,1,32.5,1,0,174,30.08,0,1,559,12,821,0
123,124,2,0,32.5,0,0,297,13.0,149,3,831,9,995,1
124,125,1,1,54.0,0,1,574,77.3,127,3,840,12,871,0
125,126,3,1,12.0,1,0,245,11.24,0,1,569,8,295,1
126,127,3,1,29.88,0,0,638,7.75,0,2,511,12,775,0
127,128,3,1,24.0,0,0,742,7.14,0,3,476,12,403,1
128,129,3,0,29.88,1,1,262,22.36,178,1,634,9,97,1
129,130,3,1,45.0,0,0,438,6.977,0,3,233,12,575,0
130,131,3,1,33.0,0,0,524,7.895,0,1,221,12,649,0
131,132,3,1,20.0,0,0,876,7.05,0,3,154,12,246,0
132,133,3,0,47.0,1,0,735,14.5,0,3,675,13,52,0
133,134,2,0,29.0,1,0,143,26.0,0,3,833,13,708,1
134,135,2,1,25.0,0,0,754,13.0,0,3,750,12,945,0
135,136,2,1,23.0,0,0,859,15.05,0,1,665,12,319,0
136,137,1,0,19.0,0,2,71,26.28,140,3,566,9,475,1
137,138,1,1,37.0,1,0,65,53.1,71,3,267,12,540,0
138,139,3,1,16.0,0,0,691,9.22,0,3,599,12,842,0
139,140,1,1,24.0,0,0,810,79.2,59,1,279,12,1045,0
140,141,3,0,29.88,0,2,273,15.24,0,1,90,13,639,0
141,142,3,0,22.0,0,0,458,7.75,0,3,580,9,101,1
142,143,3,0,24.0,1,0,913,15.85,0,3,305,13,866,1
143,144,3,1,19.0,0,0,602,6.75,0,2,108,12,570,0
144,145,2,1,18.0,0,0,150,11.5,0,3,23,12,257,0
145,146,2,1,19.0,1,1,763,36.75,0,3,567,12,641,0
146,147,3,1,27.0,0,0,553,7.797,0,3,21,12,133,1
147,148,3,0,9.0,2,2,924,34.38,0,3,255,9,928,0
148,149,2,1,36.5,0,2,145,26.0,181,3,562,12,800,0
149,150,2,1,42.0,0,0,194,13.0,0,3,113,15,1021,0
150,151,2,1,51.0,0,0,848,12.52,0,3,58,15,924,0
151,152,1,0,22.0,1,0,46,66.6,79,3,622,13,1006,1
152,153,3,1,55.5,0,0,709,8.05,0,3,518,12,59,0
153,154,3,1,40.5,0,2,736,14.5,0,3,873,12,142,0
154,155,3,1,29.88,0,0,786,7.312,0,3,594,12,844,0
155,156,1,1,51.0,0,1,814,61.38,0,1,850,12,196,0
156,157,3,0,16.0,0,0,575,7.734,0,2,285,9,679,1
157,158,3,1,30.0,0,0,896,8.05,0,3,172,12,464,0
158,159,3,1,29.88,0,0,345,8.664,0,3,746,12,803,0
159,160,3,1,29.88,8,2,778,69.56,0,3,700,8,1012,0
160,161,3,1,44.0,0,1,647,16.1,0,3,179,12,609,0
161,162,2,0,40.0,0,0,764,15.75,0,3,830,13,545,1
162,163,3,1,26.0,0,0,445,7.773,0,3,70,12,628,0
163,164,3,1,17.0,0,0,357,8.664,0,3,119,12,648,0
164,165,3,1,1.0,4,1,335,39.7,0,3,609,8,291,0
165,166,3,1,9.0,0,2,583,20.53,0,3,290,8,381,1
166,167,1,0,29.88,0,1,38,55.0,156,3,144,13,5,1
167,168,3,0,45.0,1,4,464,27.9,0,3,739,13,1074,0
168,169,1,1,29.88,0,0,790,25.92,0,3,59,12,603,0
169,170,3,1,28.0,0,0,104,56.5,0,3,456,12,696,0
170,171,1,1,61.0,0,0,8,33.5,26,3,812,12,1120,0
171,172,3,1,4.0,4,1,659,29.12,0,2,664,8,118,0
172,173,3,0,1.0,1,1,477,11.13,0,3,382,9,294,1
173,174,3,1,21.0,0,0,902,7.926,0,3,736,12,113,0
174,175,1,1,56.0,0,0,115,30.7,19,1,747,12,548,0
175,176,3,1,18.0,1,1,564,7.855,0,3,413,12,683,0
176,177,3,1,29.88,3,1,671,25.47,0,3,434,8,486,0
177,178,1,0,50.0,0,0,812,28.72,90,1,365,9,96,0
178,179,2,1,30.0,0,0,225,13.0,0,3,306,12,901,0
179,180,3,1,36.0,0,0,787,0.0,0,3,441,12,717,0
180,181,3,0,29.88,8,2,778,69.56,0,3,700,9,226,0
181,182,2,1,29.88,0,0,858,15.05,0,1,630,12,905,0
182,183,3,1,9.0,4,2,454,31.39,0,3,33,8,219,0
183,184,2,1,1.0,2,1,146,39.0,184,3,66,8,910,1
184,185,3,0,4.0,0,2,365,22.03,0,3,410,9,727,1
185,186,1,1,29.88,0,0,44,50.0,14,3,680,12,517,0
186,187,3,0,29.88,1,0,633,15.5,0,2,582,13,1007,1
187,188,1,1,45.0,0,0,14,26.55,0,3,678,12,204,1
188,189,3,1,40.0,1,1,596,15.5,0,2,91,12,592,0
189,190,3,1,36.0,0,0,530,7.895,0,3,806,12,993,0
190,191,2,0,32.0,0,0,156,13.0,0,3,644,13,18,1
191,192,2,1,19.0,0,0,310,13.0,0,3,126,12,1073,0
192,193,3,0,19.0,1,0,555,7.855,0,3,19,9,181,1
193,194,2,1,3.0,1,1,145,26.0,181,3,562,8,801,1
194,195,1,0,44.0,0,0,826,27.72,39,1,104,13,551,1
195,196,1,0,58.0,0,0,802,146.5,57,1,470,9,301,1
196,197,3,1,29.88,0,0,624,7.75,0,2,519,12,920,0
197,198,3,1,42.0,0,1,677,8.41,0,3,594,12,673,0
198,199,3,0,29.88,0,0,636,7.75,0,2,474,9,746,1
199,200,2,0,24.0,0,0,215,13.0,0,3,864,9,479,0
200,201,3,1,28.0,0,0,423,9.5,0,3,814,12,820,0
201,202,3,1,29.88,8,2,778,69.56,0,3,700,12,390,0
202,203,3,1,34.0,0,0,327,6.496,0,3,379,12,543,0
203,204,3,1,45.5,0,0,236,7.227,0,1,861,12,431,0
204,205,3,1,18.0,0,0,728,8.05,0,3,155,12,444,1
205,206,3,0,2.0,0,1,436,10.46,185,3,774,9,1000,0
206,207,3,1,32.0,1,0,333,15.85,0,3,43,12,665,0
207,208,3,1,26.0,0,0,294,18.78,0,1,10,12,813,1
208,209,3,0,16.0,0,0,613,7.75,0,2,129,9,471,1
209,210,1,1,40.0,0,0,21,31.0,13,1,85,12,481,1
210,211,3,1,24.0,0,0,880,7.05,0,3,14,12,35,0
211,212,2,0,35.0,0,0,781,21.0,0,3,120,9,222,1
212,213,3,1,22.0,0,0,723,7.25,0,3,629,12,610,0
213,214,2,1,30.0,0,0,218,13.0,0,3,286,12,455,0
214,215,3,1,29.88,1,0,611,7.75,0,2,406,12,885,0
215,216,1,0,31.0,1,0,573,113.25,133,1,565,9,732,1
216,217,3,0,27.0,0,0,915,7.926,0,3,351,9,297,1
217,218,2,1,42.0,1,0,189,27.0,0,3,368,12,967,0
218,219,1,0,32.0,0,0,81,76.3,121,1,61,9,46,1
219,220,2,1,30.0,0,0,927,10.5,0,3,317,12,1056,0
220,221,3,1,16.0,0,0,895,8.05,0,3,775,12,1046,1
221,222,2,1,27.0,0,0,136,13.0,0,3,95,12,550,0
222,223,3,1,51.0,0,0,133,8.05,0,3,295,12,419,0
223,224,3,1,29.88,0,0,517,7.895,0,3,563,12,216,0
224,225,1,1,38.0,1,0,121,90.0,114,3,356,12,398,1
225,226,3,1,22.0,0,0,838,9.35,0,3,72,12,670,0
226,227,2,1,19.0,0,0,918,10.5,0,3,517,12,1107,1
227,228,3,1,20.5,0,0,722,7.25,0,3,465,12,608,0
228,229,2,1,18.0,0,0,160,13.0,0,3,243,12,117,0
229,230,3,0,29.88,3,1,671,25.47,0,3,434,9,784,0
230,231,1,0,35.0,1,0,630,83.5,106,3,317,13,484,1
231,232,3,1,29.0,0,0,444,7.773,0,3,429,12,147,0
232,233,2,1,59.0,0,0,167,13.5,0,3,738,12,344,0
233,234,3,0,5.0,4,2,454,31.39,0,3,33,9,714,1
234,235,2,1,24.0,0,0,756,10.5,0,3,446,12,925,0
235,236,3,0,29.88,0,0,925,7.55,0,3,313,9,77,0
236,237,2,1,44.0,1,0,265,26.0,0,3,346,12,988,0
237,238,2,0,8.0,0,2,761,26.25,0,3,162,9,770,1
238,239,2,1,19.0,0,0,314,10.5,0,3,628,12,402,0
239,240,2,1,33.0,0,0,870,12.27,0,3,358,12,419,0
240,241,3,0,29.88,1,0,259,14.45,0,1,865,9,1001,0
241,242,3,0,29.88,1,0,612,15.5,0,2,550,9,678,1
242,243,2,1,29.0,0,0,921,10.5,0,3,158,12,902,0
243,244,3,1,22.0,0,0,901,7.125,0,3,477,12,788,0
244,245,3,1,30.0,0,0,289,7.227,0,1,38,12,977,0
245,246,1,1,44.0,2,0,120,90.0,103,2,525,4,1094,0
246,247,3,0,25.0,0,0,448,7.773,0,3,448,9,33,0
247,248,2,0,24.0,0,2,221,14.5,0,3,307,13,1076,1
248,249,1,1,37.0,1,1,70,52.56,132,3,67,12,915,1
249,250,2,1,54.0,1,0,191,26.0,0,3,131,15,337,0
250,251,3,1,29.88,0,0,581,7.25,0,3,656,12,549,0
251,252,3,0,29.0,1,1,436,10.46,185,3,774,13,1072,0
252,253,1,1,62.0,0,0,41,26.55,109,3,762,12,1114,0
253,254,3,1,30.0,1,0,734,16.1,0,3,459,12,1084,0
254,255,3,0,41.0,0,2,632,20.22,0,3,681,13,1050,0
255,256,3,0,29.0,0,2,244,15.24,0,1,801,13,236,1
256,257,1,0,29.88,0,0,806,79.2,0,1,790,13,433,1
257,258,1,0,30.0,0,0,0,86.5,54,3,142,9,436,1
258,259,1,0,35.0,0,0,831,512.5,0,1,826,9,97,1
259,260,2,0,50.0,0,1,147,26.0,0,3,613,13,13,1
260,261,3,1,29.88,0,0,664,7.75,0,2,747,12,1004,0
261,262,3,1,3.0,4,2,454,31.39,0,3,33,8,266,1
262,263,1,1,52.0,1,1,1,79.6,171,3,783,12,317,0
263,264,1,1,40.0,0,0,20,0.0,60,3,318,12,1073,0
264,265,3,0,29.88,0,0,656,7.75,0,2,334,9,240,0
265,266,2,1,36.0,0,0,748,10.5,0,3,657,12,237,0
266,267,3,1,16.0,4,1,335,39.7,0,3,609,12,343,0
267,268,3,1,25.0,1,0,460,7.773,0,3,632,12,349,1
268,269,1,0,58.0,0,1,805,153.5,73,3,294,13,1116,1
269,270,1,0,35.0,0,0,836,135.6,117,3,81,9,83,1
270,271,1,1,29.88,0,0,62,31.0,0,3,116,12,48,0
271,272,3,1,25.0,0,0,787,0.0,0,3,799,12,1102,1
272,273,2,0,41.0,0,1,217,19.5,0,3,516,13,6,1
273,274,1,1,37.0,0,1,813,29.7,70,1,560,12,203,0
274,275,3,0,29.88,0,0,641,7.75,0,2,325,9,453,1
275,276,1,0,63.0,1,0,92,77.94,146,3,24,9,686,1
276,277,3,0,45.0,0,0,450,7.75,0,3,449,9,138,0
277,278,2,1,29.88,0,0,178,0.0,0,3,611,12,372,0
278,279,3,1,7.0,4,1,659,29.12,0,2,664,8,330,0
279,280,3,0,35.0,1,1,753,20.25,0,3,1,13,985,1
280,281,3,1,65.0,0,0,399,7.75,0,2,223,12,376,0
281,282,3,1,28.0,0,0,469,7.855,0,3,595,12,832,0
282,283,3,1,16.0,0,0,429,9.5,0,3,871,12,58,0
283,284,3,1,19.0,0,0,731,8.05,0,3,215,12,271,1
284,285,1,1,29.88,0,0,34,26.0,6,3,747,12,918,0
285,286,3,1,33.0,0,0,522,8.664,0,1,759,12,535,0
286,287,3,1,30.0,0,0,426,9.5,0,3,870,12,1003,1
287,288,3,1,22.0,0,0,489,7.895,0,3,553,12,867,0
288,289,2,1,42.0,0,0,176,13.0,0,3,354,12,782,1
289,290,3,0,22.0,0,0,639,7.75,0,2,166,9,675,1
290,291,1,0,26.0,0,0,118,78.9,0,3,54,9,309,1
291,292,1,0,19.0,1,0,82,91.06,43,1,80,13,245,1
292,293,2,1,36.0,0,0,869,12.875,118,1,444,12,907,0
293,294,3,0,24.0,0,0,519,8.85,0,3,302,9,80,0
294,295,3,1,24.0,0,0,516,7.895,0,3,526,12,535,0
295,296,1,1,29.88,0,0,828,27.72,0,1,445,12,351,0
296,297,3,1,23.5,0,0,288,7.23,0,1,309,12,739,0
297,298,1,0,2.0,1,2,49,151.5,80,3,16,9,473,0
298,299,1,1,29.88,0,0,126,30.5,66,3,696,12,32,1
